epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.61112,1.419,0.36875,1,1.3125,8.75e-05,8.75e-05,8.75e-05
2,3.24361,1.25059,0.5625,1,1.12793,0.000185644,0.000185644,0.000185644
3,4.32498,0.98755,0.67813,1,0.79639,0.000281807,0.000281807,0.000281807
4,5.30527,0.73738,0.7375,1,0.67017,0.000375991,0.000375991,0.000375991
5,6.47097,0.56199,0.77812,1,0.64355,0.000468195,0.000468195,0.000468195
6,7.33264,0.44654,0.80313,1,0.56299,0.000558419,0.000558419,0.000558419
7,8.37885,0.36401,0.80625,1,0.43494,0.000646662,0.000646662,0.000646662
8,9.56709,0.30895,0.80937,1,0.50659,0.000732926,0.000732926,0.000732926
9,10.6521,0.24612,0.80937,1,0.58862,0.00081721,0.00081721,0.00081721
10,11.6855,0.22581,0.82187,1,0.50195,0.000899514,0.000899514,0.000899514
11,12.6781,0.20704,0.80937,1,0.47083,0.000979838,0.000979838,0.000979838
12,13.8219,0.17506,0.80313,1,0.66382,0.00105818,0.00105818,0.00105818
13,14.7482,0.19404,0.82187,1,0.69751,0.0011015,0.0011015,0.0011015
14,15.9341,0.15841,0.79375,1,0.72314,0.00108913,0.00108913,0.00108913
15,17.0562,0.15651,0.81875,1,0.63281,0.00107675,0.00107675,0.00107675
16,18.0629,0.12395,0.825,1,0.6333,0.00106437,0.00106437,0.00106437
17,19.1835,0.14003,0.79375,1,0.70752,0.001052,0.001052,0.001052
18,20.1685,0.13541,0.8125,1,0.58228,0.00103962,0.00103962,0.00103962
19,21.2588,0.11968,0.81563,1,0.5481,0.00102725,0.00102725,0.00102725
20,22.1281,0.1229,0.8,1,0.5022,0.00101488,0.00101488,0.00101488
21,23.0672,0.10544,0.80937,1,0.65356,0.0010025,0.0010025,0.0010025
22,24.025,0.10147,0.81563,1,0.57666,0.000990125,0.000990125,0.000990125
23,25.0586,0.11372,0.78125,1,0.78784,0.00097775,0.00097775,0.00097775
24,25.9205,0.08861,0.81563,1,0.65796,0.000965375,0.000965375,0.000965375
25,26.9454,0.09984,0.81563,1,0.53821,0.000953,0.000953,0.000953
26,28.059,0.0792,0.80313,1,0.67676,0.000940625,0.000940625,0.000940625
27,29.2267,0.08092,0.80313,1,0.65625,0.00092825,0.00092825,0.00092825
28,30.2705,0.0955,0.79375,1,0.5957,0.000915875,0.000915875,0.000915875
29,31.4385,0.10105,0.8,1,0.64014,0.0009035,0.0009035,0.0009035
30,32.3055,0.07616,0.82812,1,0.66992,0.000891125,0.000891125,0.000891125
31,33.288,0.06237,0.83438,1,0.60376,0.00087875,0.00087875,0.00087875
32,34.3609,0.10374,0.84062,1,0.67407,0.000866375,0.000866375,0.000866375
33,35.2606,0.06819,0.8625,1,0.43695,0.000854,0.000854,0.000854
34,36.5273,0.12156,0.84062,1,0.50781,0.000841625,0.000841625,0.000841625
35,37.3603,0.05787,0.84062,1,0.50757,0.00082925,0.00082925,0.00082925
36,38.6136,0.08991,0.85625,1,0.52197,0.000816875,0.000816875,0.000816875
37,39.7879,0.07978,0.83125,1,0.65552,0.0008045,0.0008045,0.0008045
38,41.1036,0.0751,0.80313,1,0.58643,0.000792125,0.000792125,0.000792125
39,41.941,0.10008,0.825,1,0.71582,0.00077975,0.00077975,0.00077975
40,42.8291,0.06553,0.83438,1,0.49054,0.000767375,0.000767375,0.000767375
41,43.714,0.04938,0.83438,1,0.79004,0.000755,0.000755,0.000755
42,44.8097,0.05537,0.82187,1,0.60596,0.000742625,0.000742625,0.000742625
43,46.0215,0.04902,0.81875,1,0.65137,0.00073025,0.00073025,0.00073025
44,46.888,0.07271,0.83438,1,0.73511,0.000717875,0.000717875,0.000717875
45,48.0855,0.04952,0.83125,1,0.81836,0.0007055,0.0007055,0.0007055
46,48.973,0.05717,0.83438,1,0.75708,0.000693125,0.000693125,0.000693125
47,50.0746,0.05579,0.83438,1,0.58765,0.00068075,0.00068075,0.00068075
48,51.1163,0.05144,0.83438,1,0.65576,0.000668375,0.000668375,0.000668375
49,52.0339,0.06126,0.82187,1,0.74243,0.000656,0.000656,0.000656
50,52.9768,0.0593,0.83125,1,0.63281,0.000643625,0.000643625,0.000643625
